Image Name,PID,Session Name,Session#,Mem Usage
System Idle Process,0,Services,0,8 K
System,4,Services,0,"22,612 K"
Registry,96,Services,0,"19,160 K"
smss.exe,380,Services,0,"1,012 K"
csrss.exe,568,Services,0,"4,696 K"
csrss.exe,692,Console,1,"6,112 K"
wininit.exe,720,Services,0,"5,356 K"
services.exe,768,Services,0,"8,900 K"
lsass.exe,796,Services,0,"17,940 K"
svchost.exe,896,Services,0,"3,476 K"
fontdrvhost.exe,916,Services,0,"2,672 K"
svchost.exe,936,Services,0,"31,712 K"
svchost.exe,1008,Services,0,"15,672 K"
svchost.exe,504,Services,0,"7,364 K"
winlogon.exe,516,Console,1,"9,360 K"
fontdrvhost.exe,8,Console,1,"8,516 K"
dwm.exe,1084,Console,1,"56,600 K"
svchost.exe,1200,Services,0,"8,552 K"
svchost.exe,1224,Services,0,"11,356 K"
svchost.exe,1220,Services,0,"11,428 K"
svchost.exe,1236,Services,0,"10,368 K"
svchost.exe,1448,Services,0,"5,164 K"
svchost.exe,1476,Services,0,"7,392 K"
svchost.exe,1636,Services,0,"12,840 K"
svchost.exe,1644,Services,0,"14,420 K"
svchost.exe,1712,Services,0,"8,848 K"
svchost.exe,1728,Services,0,"9,280 K"
igfxCUIService.exe,1784,Services,0,"8,152 K"
svchost.exe,1884,Services,0,"22,188 K"
svchost.exe,1892,Services,0,"9,892 K"
svchost.exe,1960,Services,0,"9,196 K"
svchost.exe,2016,Services,0,"7,424 K"
svchost.exe,1760,Services,0,"18,216 K"
svchost.exe,2136,Services,0,"7,268 K"
svchost.exe,2176,Services,0,"5,936 K"
svchost.exe,2196,Services,0,"12,524 K"
dasHost.exe,2280,Services,0,"4,168 K"
svchost.exe,2320,Services,0,"9,392 K"
svchost.exe,2352,Services,0,"9,824 K"
svchost.exe,2424,Services,0,"7,828 K"
atiesrxx.exe,2544,Services,0,"4,664 K"
atieclxx.exe,2624,Console,1,"8,752 K"
svchost.exe,2636,Services,0,"93,108 K"
svchost.exe,2644,Services,0,"5,240 K"
svchost.exe,2660,Services,0,"8,180 K"
svchost.exe,2732,Services,0,"7,736 K"
Memory Compression,2740,Services,0,"1,180,032 K"
svchost.exe,2752,Services,0,"8,464 K"
svchost.exe,2928,Services,0,"8,084 K"
svchost.exe,2952,Services,0,"13,408 K"
svchost.exe,2796,Services,0,"11,748 K"
svchost.exe,2852,Services,0,"8,156 K"
svchost.exe,3040,Services,0,"6,000 K"
svchost.exe,3196,Services,0,"15,544 K"
svchost.exe,3284,Services,0,"7,076 K"
svchost.exe,3392,Services,0,"13,524 K"
svchost.exe,3432,Services,0,"13,612 K"
scheduler.exe,3468,Services,0,"16,100 K"
FCDBLog.exe,4092,Services,0,"15,416 K"
FortiESNAC.exe,4088,Services,0,"11,504 K"
FortiSSLVPNdaemon.exe,3416,Services,0,"7,896 K"
svchost.exe,4136,Services,0,"10,096 K"
spoolsv.exe,4200,Services,0,"12,252 K"
svchost.exe,4288,Services,0,"7,532 K"
armsvc.exe,4360,Services,0,"5,672 K"
svchost.exe,4380,Services,0,"39,752 K"
SynTPEnhService.exe,4388,Services,0,"4,668 K"
svchost.exe,4404,Services,0,"12,388 K"
svchost.exe,4396,Services,0,"8,076 K"
svchost.exe,4412,Services,0,"5,696 K"
svchost.exe,4420,Services,0,"9,112 K"
svchost.exe,4428,Services,0,"16,016 K"
svchost.exe,4436,Services,0,"26,932 K"
svchost.exe,4444,Services,0,"8,536 K"
svchost.exe,4452,Services,0,"4,980 K"
svchost.exe,4460,Services,0,"20,756 K"
SecurityHealthService.exe,4592,Services,0,"10,956 K"
